Symbol,Element Name,Atomic Number,Atomic Mass,
H,Hydrogen,1,1,
He,Helium,2,4,
Li,Lithium,3,7,
Be,Beryllium,4,9,
B,Boron,5,11,
C,Carbon,6,12,
N,Nitrogen,7,14,
O,Oxygen,8,16,
F,Fluorine,9,19,
Ne,Neon,10,20,
Na,Sodium,11,23,
Mg,Magnesium,12,24,
Al,Aluminum,13,27,
Si,Silicon,14,28,
P,Phosphorus,15,31,
S,Sulfur,16,32,
Cl,Chlorine,17,35,
Ar,Argon,18,40,
K,Potassium,19,39,
Ca,Calcium,20,40,
Sc,Scandium,21,45,
Ti,Titanium,22,48,
V,Vanadium,23,51,
Cr,Chromium,24,52,
Mn,Manganese,25,55,
Fe,Iron,26,56,
Co,Cobalt,27,59,
Ni,Nickel,28,59,
Cu,Copper,29,64,
Zn,Zinc,30,65,
Ga,Gallium,31,70,
Ge,Germanium,32,73,
As,Arsenic,33,75,
Se,Selenium,34,79,
Br,Bromine,35,80,
Kr,Krypton,36,84,
Rb,Rubidium,37,85,
Sr,Strontium,38,88,
Y,Ytrium,39,89,
Zr,Zirconium,40,91,
Nb,Niobium,41,93,
Mo,Molybdenum,42,96,
Tc,technetium,43,98,
Ru,ruthenium,44,101,
Rh,rhodium,45,103,
Pd,palladium,46,106,
Ag,Silver,47,108,
Cd,Cadmium,48,112,
In,Indium,49,115,
Sn,Tin,50,119,
Sb,Antimony,51,122,
Te,tellurium,52,128,
I,Iodine,53,127,
Xe,Xenon,54,131,
Cs,Cesium,55,133,
Ba,Barium,56,137,
La,Lanthanum,57,139,
Ce,Cerium,58,140,
Pr,Praseodymium,59,141,
Nd,Neodymium,60,144,
Pm,Promethium,61,145,
Sm,Samarium,62,150,
Eu,Europium,63,152,
Gd,Gadolinium,64,157,
Tb,Terbium,65,159,
Dy,Dysprosium,66,163,
Ho,Holmium,67,165,
Er,Erbium,68,167,
Tm,Thulium,69,169,
Yb,Ytterbium,70,173,
Lu,Lutetium,71,175,
Hf,Hafnium,72,179,
Ta,Tantalum,73,181,
W,tungsten,74,184,
Re,Rhenium,75,186,
Os,Osmium,76,190,
Ir,Iridium,77,192,
Pt,Platinum,78,195,
Au,Gold,79,197,
Hg,Mercury,80,201,
Tl,Thallium,81,204,
Pb,Lead,82,207,
Bi,Bismuth,83,209,
Po,Polonium,84,209,
At,Astatine,85,210,
Rn,Radon,86,222,
Fr,Francium,87,223,
Ra,Radium,88,226,
Ac,Actinium,89,227,
Th,Thorium,90,232,
Pa,Protactinium,91,231,
U,Uranium,92,238,
Np,Neptunium,93,237,
Pu,Plutonium,94,244,
Am,Americium,95,243,
Cm,Curium,96,247,
Bk,Berkelium,97,247,
Cf,Californium,98,251,
Es,Einteinium,99,252,
Fm,Fermium,100,257,
Md,Mendelevium,101,258,
No,Nobelium,102,259,
Lr,Lawrencium,103,262,
Rf,Rutherfordium,104,261,
Db,Dubnium,105,262,
Sg,Seaborgium,106,266,
Bh,Bohrium,107,272,
Hs,Hassium,108,277,
Mt,Meitnerium,109,276,
Ds,Darmstadtium,110,281,
Rg,Roentgenium,111,280,
Cn,Copernicium,112,285,
Uut,Ununtrium,113,284,
Uuq,Flerovium,114,289,
Uup,Ununpentium,115,288,
Uuh,Ununhexium,116,292,
Uus,Ununseptium,117,293,
Uuo,Ununoctium,118,294,
Uuu,Unununium,119,272